"Statistic Label","Quarter","State","UNIT","VALUE"
"Deaths Registered","2009Q3","State","Number","6638"
"Deaths Registered","2009Q4","State","Number","6821"
"Deaths Registered","2010Q1","State","Number","8006"
"Deaths Registered","2010Q2","State","Number","6929"
"Deaths Registered","2010Q3","State","Number","6517"
"Deaths Registered","2010Q4","State","Number","6113"
"Deaths Registered","2011Q1","State","Number","8093"
"Deaths Registered","2011Q2","State","Number","7277"
"Deaths Registered","2011Q3","State","Number","6911"
"Deaths Registered","2011Q4","State","Number","6714"
"Deaths Registered","2012Q1","State","Number","7979"
"Deaths Registered","2012Q2","State","Number","7080"
"Deaths Registered","2012Q3","State","Number","6825"
"Deaths Registered","2012Q4","State","Number","6964"
"Deaths Registered","2013Q1","State","Number","8347"
"Deaths Registered","2013Q2","State","Number","7644"
"Deaths Registered","2013Q3","State","Number","6983"
"Deaths Registered","2013Q4","State","Number","7044"
"Deaths Registered","2014Q1","State","Number","8110"
"Deaths Registered","2014Q2","State","Number","7197"
"Deaths Registered","2014Q3","State","Number","7001"
"Deaths Registered","2014Q4","State","Number","6787"
"Deaths Registered","2015Q1","State","Number","8604"
"Deaths Registered","2015Q2","State","Number","7565"
"Deaths Registered","2015Q3","State","Number","6851"
"Deaths Registered","2015Q4","State","Number","6932"
"Deaths Registered","2016Q1","State","Number","8609"
"Deaths Registered","2016Q2","State","Number","7697"
"Deaths Registered","2016Q3","State","Number","7129"
"Deaths Registered","2016Q4","State","Number","6955"
"Deaths Registered","2017Q1","State","Number","9067"
"Deaths Registered","2017Q2","State","Number","7315"
"Deaths Registered","2017Q3","State","Number","6987"
"Deaths Registered","2017Q4","State","Number","7115"
"Deaths Registered","2018Q1","State","Number","9278"
"Deaths Registered","2018Q2","State","Number","7592"
"Deaths Registered","2018Q3","State","Number","7143"
"Deaths Registered","2018Q4","State","Number","7103"
"Deaths Registered","2019Q1","State","Number","8618"
"Deaths Registered","2019Q2","State","Number","7519"
"Deaths Registered","2019Q3","State","Number","7358"
"Deaths Registered","2019Q4","State","Number","7639"
"Deaths Registered","2020Q1","State","Number","8674"
"Deaths Registered","2020Q2","State","Number","8582"
"Deaths Registered","2020Q3","State","Number","7111"
"Deaths Registered","2020Q4","State","Number","7398"
"Deaths Registered","2021Q1","State","Number","9564"
"Deaths Registered","2021Q2","State","Number","6700"
"Deaths Registered","2021Q3","State","Number","8165"
"Deaths Registered","2021Q4","State","Number","8626"
"Deaths Registered","2022Q1","State","Number","9535"
"Deaths Registered","2022Q2","State","Number","9326"
"Deaths Registered","2022Q3","State","Number","8467"
"Deaths Registered","2022Q4","State","Number","8149"
"Deaths Registered","2023Q1","State","Number","10205"
"Death Rate Registered per 1000 Estimated Population","1960Q1","State","Number","13.3"
"Death Rate Registered per 1000 Estimated Population","1960Q2","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1960Q3","State","Number","9.8"
"Death Rate Registered per 1000 Estimated Population","1960Q4","State","Number","11.7"
"Death Rate Registered per 1000 Estimated Population","1961Q1","State","Number","17.1"
"Death Rate Registered per 1000 Estimated Population","1961Q2","State","Number","11.7"
"Death Rate Registered per 1000 Estimated Population","1961Q3","State","Number","9.8"
"Death Rate Registered per 1000 Estimated Population","1961Q4","State","Number","10.9"
"Death Rate Registered per 1000 Estimated Population","1962Q1","State","Number","15.3"
"Death Rate Registered per 1000 Estimated Population","1962Q2","State","Number","12.1"
"Death Rate Registered per 1000 Estimated Population","1962Q3","State","Number","9.9"
"Death Rate Registered per 1000 Estimated Population","1962Q4","State","Number","10.6"
"Death Rate Registered per 1000 Estimated Population","1963Q1","State","Number","15.1"
"Death Rate Registered per 1000 Estimated Population","1963Q2","State","Number","11.9"
"Death Rate Registered per 1000 Estimated Population","1963Q3","State","Number","10"
"Death Rate Registered per 1000 Estimated Population","1963Q4","State","Number","10.5"
"Death Rate Registered per 1000 Estimated Population","1964Q1","State","Number","13"
"Death Rate Registered per 1000 Estimated Population","1964Q2","State","Number","12.5"
"Death Rate Registered per 1000 Estimated Population","1964Q3","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1964Q4","State","Number","10.5"
"Death Rate Registered per 1000 Estimated Population","1965Q1","State","Number","13.7"
"Death Rate Registered per 1000 Estimated Population","1965Q2","State","Number","11"
"Death Rate Registered per 1000 Estimated Population","1965Q3","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1965Q4","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1966Q1","State","Number","15.4"
"Death Rate Registered per 1000 Estimated Population","1966Q2","State","Number","12.6"
"Death Rate Registered per 1000 Estimated Population","1966Q3","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1966Q4","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1967Q1","State","Number","11.9"
"Death Rate Registered per 1000 Estimated Population","1967Q2","State","Number","10.9"
"Death Rate Registered per 1000 Estimated Population","1967Q3","State","Number","9.9"
"Death Rate Registered per 1000 Estimated Population","1967Q4","State","Number","10.8"
"Death Rate Registered per 1000 Estimated Population","1968Q1","State","Number","14.2"
"Death Rate Registered per 1000 Estimated Population","1968Q2","State","Number","11.3"
"Death Rate Registered per 1000 Estimated Population","1968Q3","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1968Q4","State","Number","10.4"
"Death Rate Registered per 1000 Estimated Population","1969Q1","State","Number","13.8"
"Death Rate Registered per 1000 Estimated Population","1969Q2","State","Number","11.9"
"Death Rate Registered per 1000 Estimated Population","1969Q3","State","Number","9.8"
"Death Rate Registered per 1000 Estimated Population","1969Q4","State","Number","10.8"
"Death Rate Registered per 1000 Estimated Population","1970Q1","State","Number","13.7"
"Death Rate Registered per 1000 Estimated Population","1970Q2","State","Number","12.1"
"Death Rate Registered per 1000 Estimated Population","1970Q3","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1970Q4","State","Number","10.7"
"Death Rate Registered per 1000 Estimated Population","1971Q1","State","Number","11.3"
"Death Rate Registered per 1000 Estimated Population","1971Q2","State","Number","11"
"Death Rate Registered per 1000 Estimated Population","1971Q3","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1971Q4","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1972Q1","State","Number","12.7"
"Death Rate Registered per 1000 Estimated Population","1972Q2","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1972Q3","State","Number","9.7"
"Death Rate Registered per 1000 Estimated Population","1972Q4","State","Number","11.3"
"Death Rate Registered per 1000 Estimated Population","1973Q1","State","Number","12.4"
"Death Rate Registered per 1000 Estimated Population","1973Q2","State","Number","10.9"
"Death Rate Registered per 1000 Estimated Population","1973Q3","State","Number","9.7"
"Death Rate Registered per 1000 Estimated Population","1973Q4","State","Number","10.4"
"Death Rate Registered per 1000 Estimated Population","1974Q1","State","Number","11.6"
"Death Rate Registered per 1000 Estimated Population","1974Q2","State","Number","11.4"
"Death Rate Registered per 1000 Estimated Population","1974Q3","State","Number","10"
"Death Rate Registered per 1000 Estimated Population","1974Q4","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1975Q1","State","Number","11.5"
"Death Rate Registered per 1000 Estimated Population","1975Q2","State","Number","11"
"Death Rate Registered per 1000 Estimated Population","1975Q3","State","Number","9.2"
"Death Rate Registered per 1000 Estimated Population","1975Q4","State","Number","10.5"
"Death Rate Registered per 1000 Estimated Population","1976Q1","State","Number","10.8"
"Death Rate Registered per 1000 Estimated Population","1976Q2","State","Number","11.5"
"Death Rate Registered per 1000 Estimated Population","1976Q3","State","Number","8.9"
"Death Rate Registered per 1000 Estimated Population","1976Q4","State","Number","10"
"Death Rate Registered per 1000 Estimated Population","1977Q1","State","Number","11.1"
"Death Rate Registered per 1000 Estimated Population","1977Q2","State","Number","10.5"
"Death Rate Registered per 1000 Estimated Population","1977Q3","State","Number","9.3"
"Death Rate Registered per 1000 Estimated Population","1977Q4","State","Number","9.9"
"Death Rate Registered per 1000 Estimated Population","1978Q1","State","Number","11.7"
"Death Rate Registered per 1000 Estimated Population","1978Q2","State","Number","10.6"
"Death Rate Registered per 1000 Estimated Population","1978Q3","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1978Q4","State","Number","8.9"
"Death Rate Registered per 1000 Estimated Population","1979Q1","State","Number","11.3"
"Death Rate Registered per 1000 Estimated Population","1979Q2","State","Number","10"
"Death Rate Registered per 1000 Estimated Population","1979Q3","State","Number","8.6"
"Death Rate Registered per 1000 Estimated Population","1979Q4","State","Number","9"
"Death Rate Registered per 1000 Estimated Population","1980Q1","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1980Q2","State","Number","10.1"
"Death Rate Registered per 1000 Estimated Population","1980Q3","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1980Q4","State","Number","9.8"
"Death Rate Registered per 1000 Estimated Population","1981Q1","State","Number","10.6"
"Death Rate Registered per 1000 Estimated Population","1981Q2","State","Number","9"
"Death Rate Registered per 1000 Estimated Population","1981Q3","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1981Q4","State","Number","9.4"
"Death Rate Registered per 1000 Estimated Population","1982Q1","State","Number","11.7"
"Death Rate Registered per 1000 Estimated Population","1982Q2","State","Number","9.2"
"Death Rate Registered per 1000 Estimated Population","1982Q3","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","1982Q4","State","Number","8.8"
"Death Rate Registered per 1000 Estimated Population","1983Q1","State","Number","10.8"
"Death Rate Registered per 1000 Estimated Population","1983Q2","State","Number","9.4"
"Death Rate Registered per 1000 Estimated Population","1983Q3","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1983Q4","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1984Q1","State","Number","10.4"
"Death Rate Registered per 1000 Estimated Population","1984Q2","State","Number","9.5"
"Death Rate Registered per 1000 Estimated Population","1984Q3","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","1984Q4","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1985Q1","State","Number","11.2"
"Death Rate Registered per 1000 Estimated Population","1985Q2","State","Number","9.3"
"Death Rate Registered per 1000 Estimated Population","1985Q3","State","Number","8.2"
"Death Rate Registered per 1000 Estimated Population","1985Q4","State","Number","8.9"
"Death Rate Registered per 1000 Estimated Population","1986Q1","State","Number","11.4"
"Death Rate Registered per 1000 Estimated Population","1986Q2","State","Number","10"
"Death Rate Registered per 1000 Estimated Population","1986Q3","State","Number","8.2"
"Death Rate Registered per 1000 Estimated Population","1986Q4","State","Number","8.3"
"Death Rate Registered per 1000 Estimated Population","1987Q1","State","Number","10.1"
"Death Rate Registered per 1000 Estimated Population","1987Q2","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1987Q3","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1987Q4","State","Number","8.3"
"Death Rate Registered per 1000 Estimated Population","1988Q1","State","Number","10.4"
"Death Rate Registered per 1000 Estimated Population","1988Q2","State","Number","9.2"
"Death Rate Registered per 1000 Estimated Population","1988Q3","State","Number","7.9"
"Death Rate Registered per 1000 Estimated Population","1988Q4","State","Number","8.2"
"Death Rate Registered per 1000 Estimated Population","1989Q1","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1989Q2","State","Number","9.2"
"Death Rate Registered per 1000 Estimated Population","1989Q3","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","1989Q4","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1990Q1","State","Number","11.5"
"Death Rate Registered per 1000 Estimated Population","1990Q2","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1990Q3","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","1990Q4","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1991Q1","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1991Q2","State","Number","9.1"
"Death Rate Registered per 1000 Estimated Population","1991Q3","State","Number","7.9"
"Death Rate Registered per 1000 Estimated Population","1991Q4","State","Number","8.5"
"Death Rate Registered per 1000 Estimated Population","1992Q1","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1992Q2","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","1992Q3","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","1992Q4","State","Number","8.2"
"Death Rate Registered per 1000 Estimated Population","1993Q1","State","Number","9.4"
"Death Rate Registered per 1000 Estimated Population","1993Q2","State","Number","8.8"
"Death Rate Registered per 1000 Estimated Population","1993Q3","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1993Q4","State","Number","9.4"
"Death Rate Registered per 1000 Estimated Population","1994Q1","State","Number","9.6"
"Death Rate Registered per 1000 Estimated Population","1994Q2","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1994Q3","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1994Q4","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1995Q1","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1995Q2","State","Number","8.9"
"Death Rate Registered per 1000 Estimated Population","1995Q3","State","Number","7.6"
"Death Rate Registered per 1000 Estimated Population","1995Q4","State","Number","8.3"
"Death Rate Registered per 1000 Estimated Population","1996Q1","State","Number","10.3"
"Death Rate Registered per 1000 Estimated Population","1996Q2","State","Number","8.6"
"Death Rate Registered per 1000 Estimated Population","1996Q3","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1996Q4","State","Number","8"
"Death Rate Registered per 1000 Estimated Population","1997Q1","State","Number","10.2"
"Death Rate Registered per 1000 Estimated Population","1997Q2","State","Number","8.8"
"Death Rate Registered per 1000 Estimated Population","1997Q3","State","Number","7.7"
"Death Rate Registered per 1000 Estimated Population","1997Q4","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","1998Q1","State","Number","9.7"
"Death Rate Registered per 1000 Estimated Population","1998Q2","State","Number","8.7"
"Death Rate Registered per 1000 Estimated Population","1998Q3","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","1998Q4","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","1999Q1","State","Number","10.7"
"Death Rate Registered per 1000 Estimated Population","1999Q2","State","Number","8.3"
"Death Rate Registered per 1000 Estimated Population","1999Q3","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","1999Q4","State","Number","7.9"
"Death Rate Registered per 1000 Estimated Population","2000Q1","State","Number","10.5"
"Death Rate Registered per 1000 Estimated Population","2000Q2","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","2000Q3","State","Number","7.2"
"Death Rate Registered per 1000 Estimated Population","2000Q4","State","Number","7.2"
"Death Rate Registered per 1000 Estimated Population","2001Q1","State","Number","8.9"
"Death Rate Registered per 1000 Estimated Population","2001Q2","State","Number","7.5"
"Death Rate Registered per 1000 Estimated Population","2001Q3","State","Number","7.3"
"Death Rate Registered per 1000 Estimated Population","2001Q4","State","Number","7.5"
"Death Rate Registered per 1000 Estimated Population","2002Q1","State","Number","8.1"
"Death Rate Registered per 1000 Estimated Population","2002Q2","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","2002Q3","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2002Q4","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2003Q1","State","Number","7.9"
"Death Rate Registered per 1000 Estimated Population","2003Q2","State","Number","7.4"
"Death Rate Registered per 1000 Estimated Population","2003Q3","State","Number","6.7"
"Death Rate Registered per 1000 Estimated Population","2003Q4","State","Number","7.3"
"Death Rate Registered per 1000 Estimated Population","2004Q1","State","Number","7.9"
"Death Rate Registered per 1000 Estimated Population","2004Q2","State","Number","6.8"
"Death Rate Registered per 1000 Estimated Population","2004Q3","State","Number","6.4"
"Death Rate Registered per 1000 Estimated Population","2004Q4","State","Number","6.8"
"Death Rate Registered per 1000 Estimated Population","2005Q1","State","Number","7.3"
"Death Rate Registered per 1000 Estimated Population","2005Q2","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2005Q3","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2005Q4","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2006Q1","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2006Q2","State","Number","6.6"
"Death Rate Registered per 1000 Estimated Population","2006Q3","State","Number","6.3"
"Death Rate Registered per 1000 Estimated Population","2006Q4","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2007Q1","State","Number","7.5"
"Death Rate Registered per 1000 Estimated Population","2007Q2","State","Number","6.3"
"Death Rate Registered per 1000 Estimated Population","2007Q3","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2007Q4","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2008Q1","State","Number","6.9"
"Death Rate Registered per 1000 Estimated Population","2008Q2","State","Number","6.8"
"Death Rate Registered per 1000 Estimated Population","2008Q3","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2008Q4","State","Number","5.7"
"Death Rate Registered per 1000 Estimated Population","2009Q1","State","Number","7.5"
"Death Rate Registered per 1000 Estimated Population","2009Q2","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2009Q3","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2009Q4","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2010Q1","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2010Q2","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2010Q3","State","Number","5.7"
"Death Rate Registered per 1000 Estimated Population","2010Q4","State","Number","5.4"
"Death Rate Registered per 1000 Estimated Population","2011Q1","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2011Q2","State","Number","6.4"
"Death Rate Registered per 1000 Estimated Population","2011Q3","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2011Q4","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2012Q1","State","Number","7"
"Death Rate Registered per 1000 Estimated Population","2012Q2","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2012Q3","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2012Q4","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2013Q1","State","Number","7.3"
"Death Rate Registered per 1000 Estimated Population","2013Q2","State","Number","6.7"
"Death Rate Registered per 1000 Estimated Population","2013Q3","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2013Q4","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2014Q1","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2014Q2","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2014Q3","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2014Q4","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2015Q1","State","Number","7.5"
"Death Rate Registered per 1000 Estimated Population","2015Q2","State","Number","6.5"
"Death Rate Registered per 1000 Estimated Population","2015Q3","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2015Q4","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2016Q1","State","Number","7.4"
"Death Rate Registered per 1000 Estimated Population","2016Q2","State","Number","6.6"
"Death Rate Registered per 1000 Estimated Population","2016Q3","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2016Q4","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2017Q1","State","Number","7.8"
"Death Rate Registered per 1000 Estimated Population","2017Q2","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2017Q3","State","Number","5.8"
"Death Rate Registered per 1000 Estimated Population","2017Q4","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2018Q1","State","Number","7.7"
"Death Rate Registered per 1000 Estimated Population","2018Q2","State","Number","6.3"
"Death Rate Registered per 1000 Estimated Population","2018Q3","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2018Q4","State","Number","5.8"
"Death Rate Registered per 1000 Estimated Population","2019Q1","State","Number","7.1"
"Death Rate Registered per 1000 Estimated Population","2019Q2","State","Number","6.1"
"Death Rate Registered per 1000 Estimated Population","2019Q3","State","Number","6"
"Death Rate Registered per 1000 Estimated Population","2019Q4","State","Number","6.2"
"Death Rate Registered per 1000 Estimated Population","2020Q1","State","Number","7"
"Death Rate Registered per 1000 Estimated Population","2020Q2","State","Number","6.9"
"Death Rate Registered per 1000 Estimated Population","2020Q3","State","Number","5.7"
"Death Rate Registered per 1000 Estimated Population","2020Q4","State","Number","5.9"
"Death Rate Registered per 1000 Estimated Population","2021Q1","State","Number","7.7"
"Death Rate Registered per 1000 Estimated Population","2021Q2","State","Number","5.3"
"Death Rate Registered per 1000 Estimated Population","2021Q3","State","Number","6.5"
"Death Rate Registered per 1000 Estimated Population","2021Q4","State","Number","6.9"
"Death Rate Registered per 1000 Estimated Population","2022Q1","State","Number","7.6"
"Death Rate Registered per 1000 Estimated Population","2022Q2","State","Number","7.3"
"Death Rate Registered per 1000 Estimated Population","2022Q3","State","Number","6.6"
"Death Rate Registered per 1000 Estimated Population","2022Q4","State","Number","6.4"
"Death Rate Registered per 1000 Estimated Population","2023Q1","State","Number","8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1960Q1","State","Number","34.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1960Q2","State","Number","26.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1960Q3","State","Number","26.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1960Q4","State","Number","29.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1961Q1","State","Number","34.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1961Q2","State","Number","29"
"Deaths of Infants under 1 Year Registered per 1000 Births","1961Q3","State","Number","29.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1961Q4","State","Number","29.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1962Q1","State","Number","35.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1962Q2","State","Number","28.6"
"Deaths of Infants under 1 Year Registered per 1000 Births","1962Q3","State","Number","24.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1962Q4","State","Number","28.4"
"Deaths of Infants under 1 Year Registered per 1000 Births","1963Q1","State","Number","30.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1963Q2","State","Number","26.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1963Q3","State","Number","23.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1963Q4","State","Number","26.6"
"Deaths of Infants under 1 Year Registered per 1000 Births","1964Q1","State","Number","29.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1964Q2","State","Number","26.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1964Q3","State","Number","24.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1964Q4","State","Number","27.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1965Q1","State","Number","24.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1965Q2","State","Number","27.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1965Q3","State","Number","22.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1965Q4","State","Number","26.4"
"Deaths of Infants under 1 Year Registered per 1000 Births","1966Q1","State","Number","27.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1966Q2","State","Number","25.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1966Q3","State","Number","23"
"Deaths of Infants under 1 Year Registered per 1000 Births","1966Q4","State","Number","24.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1967Q1","State","Number","25.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1967Q2","State","Number","24.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1967Q3","State","Number","22.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1967Q4","State","Number","25"
"Deaths of Infants under 1 Year Registered per 1000 Births","1968Q1","State","Number","23.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1968Q2","State","Number","22"
"Deaths of Infants under 1 Year Registered per 1000 Births","1968Q3","State","Number","17.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1968Q4","State","Number","19.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1969Q1","State","Number","21"
"Deaths of Infants under 1 Year Registered per 1000 Births","1969Q2","State","Number","19.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1969Q3","State","Number","20.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1969Q4","State","Number","21.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1970Q1","State","Number","20.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1970Q2","State","Number","20"
"Deaths of Infants under 1 Year Registered per 1000 Births","1970Q3","State","Number","16.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1970Q4","State","Number","19.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1971Q1","State","Number","18.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1971Q2","State","Number","17"
"Deaths of Infants under 1 Year Registered per 1000 Births","1971Q3","State","Number","18.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1971Q4","State","Number","18.1"
"Deaths of Infants under 1 Year Registered per 1000 Births","1972Q1","State","Number","16.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1972Q2","State","Number","19.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1972Q3","State","Number","19.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1972Q4","State","Number","14.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1973Q1","State","Number","15.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1973Q2","State","Number","21.4"
"Deaths of Infants under 1 Year Registered per 1000 Births","1973Q3","State","Number","16.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1973Q4","State","Number","17.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1974Q1","State","Number","18.4"
"Deaths of Infants under 1 Year Registered per 1000 Births","1974Q2","State","Number","18.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1974Q3","State","Number","15.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1974Q4","State","Number","16"
"Deaths of Infants under 1 Year Registered per 1000 Births","1975Q1","State","Number","18.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1975Q2","State","Number","19.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1975Q3","State","Number","16.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1975Q4","State","Number","18.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1976Q1","State","Number","14.7"
"Deaths of Infants under 1 Year Registered per 1000 Births","1976Q2","State","Number","15.6"
"Deaths of Infants under 1 Year Registered per 1000 Births","1976Q3","State","Number","13.8"
"Deaths of Infants under 1 Year Registered per 1000 Births","1976Q4","State","Number","14.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1977Q1","State","Number","15.5"
"Deaths of Infants under 1 Year Registered per 1000 Births","1977Q2","State","Number","17"
"Deaths of Infants under 1 Year Registered per 1000 Births","1977Q3","State","Number","13.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1977Q4","State","Number","16.2"
"Deaths of Infants under 1 Year Registered per 1000 Births","1978Q1","State","Number","15.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1978Q2","State","Number","16"
"Deaths of Infants under 1 Year Registered per 1000 Births","1978Q3","State","Number","12.9"
"Deaths of Infants under 1 Year Registered per 1000 Births","1978Q4","State","Number","15.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1979Q1","State","Number","13.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1979Q2","State","Number","11.3"
"Deaths of Infants under 1 Year Registered per 1000 Births","1979Q3","State","Number","12.4"
"Deaths of Infants under 1 Year Registered per 1000 Births","1979Q4","State","Number","12.7"
